date,GDP (current US$),Population,GDP per Capita (current US$),Exports of goods and services (US$),Imports of goods and services (US$),"FDI (Net inflows, US$)",Unemployment rate (%),Life expectancy (years)
2000,99484802344.5277,154879127,642.338346499898,9580014109.68833,11769388547.9584,308000000,0.634,61.903
2001,97145618479.9038,159270907,609.939506905073,10322860872.5524,12581363105.462,378000000,0.629,62.241
2002,97923302809.3537,163222549,599.937345723927,11029069178.3046,11619627151.6726,826000000,0.635,62.556
2003,112371913740.823,167110248,672.44178669894,13669643162.0283,14030211712.4808,534000000,0.63,62.834
2004,132216048339.413,171286000,771.902247348954,15103000000.0,17697600000.0,1118000000,0.608,63.097
2005,145208562960.767,175453212,827.619861189926,17790723344.6096,25595408507.0825,2201000000,0.585,62.416
2006,161871385506.36,179682690,900.873564984808,20313153770.8457,33184884874.8509,4273000000,0.582,63.624
2007,184140869997.46,184493231,998.090114197524,21406517114.1039,35286555607.2316,5590000000,0.398,63.807
2008,202203748583.854,189499113,1067.04324565284,24013343672.3078,45441542692.237,5438000000,0.423,64.002
2009,187337783856.466,194376534,963.788066395225,23213002701.9693,39220849368.7124,2338000000,0.535,64.206
2010,196709621849.586,199239047,987.304571124485,24858636642.8718,38066808315.7267,2022000000,0.653,64.378
2011,230586581059.665,203746065,1131.73513834324,31088962295.1378,43534938844.223,1326000000,0.796,64.659
2012,250106966104.704,207667125,1204.36475491585,29697611485.2317,48633322390.5338,859000000,3.667,64.883
2013,258657231672.412,211073978,1225.4340119198,31497982328.1766,48401946136.1579,1333000000,2.954,65.129
2014,271390474857.632,214264647,1266.61340849959,30382086972.4595,49596212908.433,1887000000,1.827,65.374
2015,299963590534.773,217290883,1380.47020838317,29920081165.7791,50134759860.0874,1673000000,3.566,65.641
2016,313630000130.435,220138869,1424.69161195897,27400963629.0087,50070595635.3331,2576000000,2.285,65.943
2017,339205534861.1,223273967,1519.23459514248,27888160733.4655,58514391836.2421,2496000000,3.215,66.223
2018,356128166704.921,226928892,1569.33814626355,30562205605.5736,67821965004.981,1737000000,4.083,66.481
2019,320909472770.669,230800899,1390.41690981745,30136170670.3429,62624564039.0062,2234000000,4.83,66.729
2020,300425609817.981,235001746,1278.39735206896,27935253908.9592,52327295403.4835,2057000000,6.127,65.701
2021,348516647445.148,239477801,1455.31922370186,31546332472.5314,62659182539.6335,2147000000,6.338,65.773
2022,374890295666.694,243700667,1538.3228133171,39515650036.1059,84315688680.3991,1462000000,5.485,67.417
